time,open,high,low,close,tick_volume,real_volume,buffer0,buffer1,buffer2,buffer3,buffer4,buffer5,buffer6,buffer7,buffer8,buffer9
1785715200,2300.0,2300.27,2299.74,2300.0,0,20,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
1785715260,2300.0,2302.06697,2299.67,2301.73697,0,21,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.00050189359262731159,EMPTY
1785715320,2301.73697,2303.70152,2301.33697,2303.31152,0,22,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.0007060718729441362,EMPTY
1785715380,2303.31152,2305.03901,2303.05152,2304.58901,0,23,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.00062651340494657148,EMPTY
1785715440,2304.58901,2305.7553,2304.25901,2305.4853,0,24,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.00040787293952515569,EMPTY
1785715500,2305.4853,2306.3103,2305.0853,2305.9803,0,25,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.00027127982322294741,EMPTY
1785715560,2305.9803,2306.51,2305.7203,2306.12,0,26,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0.00014085274419617377,EMPTY
1785715620,2306.12,2306.57,2305.67651,2306.00651,0,27,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,-1.4061254449693195e-05,EMPTY
1785715680,2306.00651,2306.27651,2305.37791,2305.77791,0,28,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,-0.00011863380529408829,EMPTY
1785715740,2305.77791,2306.10791,2305.32184,2305.58184,0,29,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,-6.0824996301001022e-05,EMPTY
1785715800,2305.58184,2305.97184,2305.21733,2305.54733,0,30,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,-3.9770855772225389e-05,EMPTY
1785715860,2305.54733,2306.21024,2305.14733,2305.76024,0,31,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,5.5127080501371495e-05,EMPTY
1785715920,2305.76024,2306.51675,2305.50024,2306.24675,0,32,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,0.00016565209979635398,EMPTY
1785715980,2306.24675,2307.29786,2305.91675,2306.96786,0,20,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,0.00027730425557592753,EMPTY
1785716040,2306.96786,2308.21589,2306.56786,2307.82589,0,21,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,EMPTY,0.00035067636725116813,EMPTY
