bar_index,bar_open,known_from,open,high,low,close,internal_bias,swing_bias,internal_event,swing_event,region_mask,swing_high,swing_low,bull_ob_upper,bull_ob_lower,bear_ob_upper,bear_ob_lower,bull_fvg_upper,bull_fvg_lower,bear_fvg_upper,bear_fvg_lower,ob_count,fvg_count
41,2026.01.05 00:41,2026.01.05 00:42,103.648473,103.736473,103.200429,103.300429,0.0,0.0,0.0,0.0,4.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.0
42,2026.01.05 00:42,2026.01.05 00:43,103.300429,103.370429,102.857808,102.961808,0.0,0.0,0.0,0.0,64.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.0
67,2026.01.05 01:07,2026.01.05 01:08,107.245742,107.858551,107.149742,107.776551,0.0,0.0,0.0,0.0,4.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,107.149742,106.787727,1.7976931348623157e+308,1.7976931348623157e+308,0.0,2.0
80,2026.01.05 01:20,2026.01.05 01:21,109.012161,109.091161,103.507852,103.619852,0.0,0.0,0.0,0.0,1024.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.0
81,2026.01.05 01:21,2026.01.05 01:22,103.619852,103.862663,103.539852,103.780663,0.0,0.0,0.0,0.0,8.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,103.200429,100.821592,108.86184,103.862663,0.0,2.0
82,2026.01.05 01:22,2026.01.05 01:23,103.780663,104.056357,103.696663,103.971357,0.0,0.0,0.0,0.0,2048.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,0.0,1.0
90,2026.01.05 01:30,2026.01.05 01:31,103.744749,103.832749,103.268976,103.348976,-1.0,0.0,-1.0,0.0,2.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,104.47973,104.299096,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,1.0,1.0
105,2026.01.05 01:45,2026.01.05 01:46,101.157429,101.227429,100.858974,100.962974,-1.0,0.0,-1.0,0.0,2.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,101.422639,101.18754,103.200429,100.821592,1.7976931348623157e+308,1.7976931348623157e+308,2.0,1.0
106,2026.01.05 01:46,2026.01.05 01:47,100.962974,101.035974,100.608443,100.716443,-1.0,0.0,0.0,0.0,1024.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,101.422639,101.18754,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0
110,2026.01.05 01:50,2026.01.05 01:51,99.961033,100.046033,99.729814,99.817814,-1.0,-1.0,0.0,-1.0,2.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,101.422639,101.18754,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,3.0,0.0
116,2026.01.05 01:56,2026.01.05 01:57,100.717759,101.226052,100.605759,101.144052,-1.0,-1.0,0.0,0.0,32.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,101.422639,101.18754,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,3.0,0.0
117,2026.01.05 01:57,2026.01.05 01:58,101.144052,101.667674,101.064052,101.582674,-1.0,-1.0,0.0,0.0,512.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,104.47973,104.299096,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0
120,2026.01.05 02:00,2026.01.05 02:01,102.362117,104.727195,102.270117,104.654195,-1.0,-1.0,0.0,0.0,512.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,109.409159,109.17856,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0
121,2026.01.05 02:01,2026.01.05 02:02,104.654195,104.94358,104.558195,104.86758,-1.0,-1.0,0.0,0.0,4.0,1.7976931348623157e+308,99.916,1.7976931348623157e+308,1.7976931348623157e+308,109.409159,109.17856,104.558195,102.432117,1.7976931348623157e+308,1.7976931348623157e+308,1.0,1.0
137,2026.01.05 02:17,2026.01.05 02:18,108.995899,109.236283,108.907899,109.154283,-1.0,-1.0,0.0,0.0,32.0,109.409159,99.916,1.7976931348623157e+308,1.7976931348623157e+308,109.409159,109.17856,104.558195,102.432117,1.7976931348623157e+308,1.7976931348623157e+308,1.0,1.0
