time,d_low,d_high,s_low,s_high,d_reference,s_reference,d_new,s_new,d_first,s_first,d_retouch,s_retouch,d_invalid,s_invalid,d_reference_hit,s_reference_hit
2026.03.02 00:25,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:26,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:27,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:28,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:29,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:30,1.7976931348623157e+308,1.7976931348623157e+308,100.0,104.0,1.7976931348623157e+308,102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:31,1.7976931348623157e+308,1.7976931348623157e+308,100.0,104.0,1.7976931348623157e+308,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:32,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:33,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:34,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2026.03.02 00:35,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026.03.02 00:36,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:37,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:38,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:39,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:40,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:41,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:42,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:43,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:44,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:45,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:46,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:47,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:48,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:49,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:50,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:51,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026.03.02 00:52,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
